1.000000000000000000e+00,2.242969758224411347e-10,2.077108845189179238e-49,4.902789885231622361e-06,2.402448477649884731e-26,6.946876182200667166e-90,1.188179482923168255e-17,3.371866520141313160e-61,1.204787976311041257e-34,8.970391554405486393e-52,1.855136949671053923e-50,2.077473861365239901e-117
2.242969758224411347e-10,1.000000000000000000e+00,9.470557846622356153e-16,1.922566352925391719e-08,4.450130746020765971e-07,2.745697675806493827e-41,6.223942256040054778e-13,1.578890654080173849e-27,2.553948121371449385e-44,2.478451268532959791e-31,1.167040657115229219e-41,5.545655552100536917e-69
2.077108845189179238e-49,9.470557846622356153e-16,1.000000000000000000e+00,1.208841444597561707e-39,2.581999053706863746e-11,1.605100262922520104e-08,4.156715625832630224e-36,1.043453839902832969e-14,7.741756889407170234e-87,4.808541848754081352e-36,1.553613917110823314e-61,5.673854029583349399e-39
4.902789885231622361e-06,1.922566352925391719e-08,1.208841444597561707e-39,1.000000000000000000e+00,6.739661012374664123e-13,7.128673926866569220e-69,4.817040233886128861e-04,1.448841083433135186e-36,8.195296605008211291e-17,6.538771456008751640e-25,2.037502113014891094e-23,2.089341725500343020e-79
2.402448477649884731e-26,4.450130746020765971e-07,2.581999053706863746e-11,6.739661012374664123e-13,1.000000000000000000e+00,9.174599119369855281e-24,3.291520850218311746e-08,3.246191167835659734e-08,3.875682203317640116e-37,2.050178216447449420e-11,5.391648161028515439e-23,1.766368816707679920e-34
6.946876182200667166e-90,2.745697675806493827e-41,1.605100262922520104e-08,7.128673926866569220e-69,9.174599119369855281e-24,1.000000000000000000e+00,8.314865276239111529e-56,6.975444590747866347e-12,8.334933993689537313e-111,2.528199955737726863e-38,1.400714284101309976e-69,3.902735787781628427e-19
1.188179482923168255e-17,6.223942256040054778e-13,4.156715625832630224e-36,4.817040233886128861e-04,3.291520850218311746e-08,8.314865276239111529e-56,1.000000000000000000e+00,1.914614443771099429e-22,5.869074370706883601e-12,1.489096875422066936e-10,4.023176100123917503e-10,2.911756667637462117e-54
3.371866520141313160e-61,1.578890654080173849e-27,1.043453839902832969e-14,1.448841083433135186e-36,3.246191167835659734e-08,6.975444590747866347e-12,1.914614443771099429e-22,1.000000000000000000e+00,4.501476081707771736e-55,1.549542951278364992e-08,1.768597646973910743e-25,3.001701669232053874e-10
1.204787976311041257e-34,2.553948121371449385e-44,7.741756889407170234e-87,8.195296605008211291e-17,3.875682203317640116e-37,8.334933993689537313e-111,5.869074370706883601e-12,4.501476081707771736e-55,1.000000000000000000e+00,1.499831599535086961e-24,6.783277686849033525e-10,2.354971521936750638e-88
8.970391554405486393e-52,2.478451268532959791e-31,4.808541848754081352e-36,6.538771456008751640e-25,2.050178216447449420e-11,2.528199955737726863e-38,1.489096875422066936e-10,1.549542951278364992e-08,1.499831599535086961e-24,1.000000000000000000e+00,1.511209700420454009e-05,4.823789913793546553e-21
1.855136949671053923e-50,1.167040657115229219e-41,1.553613917110823314e-61,2.037502113014891094e-23,5.391648161028515439e-23,1.400714284101309976e-69,4.023176100123917503e-10,1.768597646973910743e-25,6.783277686849033525e-10,1.511209700420454009e-05,1.000000000000000000e+00,2.218543546954906871e-42
2.077473861365239901e-117,5.545655552100536917e-69,5.673854029583349399e-39,2.089341725500343020e-79,1.766368816707679920e-34,3.902735787781628427e-19,2.911756667637462117e-54,3.001701669232053874e-10,2.354971521936750638e-88,4.823789913793546553e-21,2.218543546954906871e-42,1.000000000000000000e+00
