2.781163951539560344e+02,2.669526035934395622e+02
2.169999965451623609e+02,2.546453181655982121e+02
1.434063733711017790e+02,2.659999939155529773e+02
2.649034115021940465e+02,2.294097754277938179e+02
1.859498973317955404e+02,2.205671745391146032e+02
9.708511878581686005e+01,2.100851402726833896e+02
2.391079970556474166e+02,1.929276602384459238e+02
1.410000118945877432e+02,1.978879058967937965e+02
2.925936470839759522e+02,1.859999780366109121e+02
1.775236380779927572e+02,1.602868292739683795e+02
2.408453621695760205e+02,1.499508255967927823e+02
1.039421930513753551e+02,1.450246092502615340e+02
