1,"-0.00349,0.00151,-0.02213,-0.02341,0.00407,-0.14671"
2,"-0.00358,-0.00347,-0.04027,-0.04082,0.01062,-0.16587"
3,"0.00443,-0.00092,-0.01801,0.02581,-0.00883,-0.15624"
